date,text
26.12.2019,"В Питере дождь идет более-менее всегда. Но в ИТМО есть одна примета - какой бы плохой погода ни была накануне, в день велопрогулки с ректором она обязательно будет хорошей. Так было до прошлого сентября, когда мы катались под проливным дождем. 

Казалось, погода все испортит и ничего не получится. Но дождь только поднял всем настроение и сделал эту велопрогулку особенной. Когда ещё увидишь ректора, рассекающего по лужам на велосипеде? ☺

А самое приятное, что после такого активного отдыха никто не заболел!"
26.12.2019,"Мы не стоим на месте и всегда стремимся развивать новые направления. 

В рейтинге аналитического центра «Эксперт» мы ожидали лидерства в компьютерных науках, но в прошлом году Университет ИТМО стал первым ещё и по химии! Все благодаря современным научным центрам, которые занимаются качественными инновационными исследованиями. Например, SCAMT. 

Ещё в этом году мы принимали ведущую мировую конференцию по химии Sol-Gel и с размахом отметили 150-летие периодической таблицы Менделеева. 

В следующем году ждем от наших ученых-химиков новые разработки и новые открытия!"
26.12.2019,"Немного припозднились, зато без спойлеров! 
 
Как вам четвёртый сезон Рика и Морти? Мы смотрим и думаем, что это один … сс ссссс сссссссс ссс. Сссс сссссс ссс сссс. 
 
Сссс ссссс ссссс? Ссссс сссс сс сссс с 1965!"
26.12.2019,"Самая сложная информация лучше всего воспринимается через юмор. Мы думали-думали об этом и дали возможность молодым исследователям шутить на их любимые темы. Так появился первый научный стендап «Квантовый потанцевал»!

В 2019 году он окончательно превратился в большое шоу. Мы уже дважды собрали клуб «Космонавт», а это по 500 самых крутых зрителей. К нам пришли профессиональные стендаперы, и про нас заговорили топовые люди научного мира. Учёные стали настоящими рок звёздами!

В следующем году обещаем вам ещё больше сюрпризов. Следите за новостями!"
25.12.2019,"Один из главных итогов года – наши первокурсники. В 2019 году мы приняли 1100 человек на бюджет. 400 человек поступили в ИТМО по результатам олимпиад. 
 
70% новых студентов – не из Петербурга! К нам приехали ребята из 83 регионов России и других стран. Средний конкурс по всем факультетам – 4,33 человека на место. Средний балл ЕГЭ вырос на 1,5. 
 
Планы на следующий год – вступительные испытания и подача документов в электронном виде, нестандартные дни открытых дверей и многое другое. 
 
Поступай правильно с ИТМО!😉"
25.12.2019,"Как выглядят люди, набравшие 100 баллов по ЕГЭ? 🤔 
 
Александр Пахомов 10 лет занимался музыкой, не всегда делал домашнее задание в школе и готовился к ЕГЭ без репетиторов. Сейчас он студент Университета ИТМО и технический директор стартапа Firstep. 
 
Не похоже на скучного, однообразного человека, правда? 😏"
25.12.2019,"Всех бесит огромное количество бумажек, которые постоянно нужно у кого-то подписывать, куда-то относить. А если в одном месте обед, в другом работают по четным, в следующее надо ехать в другой корпус, то это вообще…. 🤢
 
Поэтому в этом году мы решили по максимуму оградить студентов от бюрократических проволочек и открыли студенческий офис. Там можно получить все справки, подать все заявления и решить все вопросы по учебе и вокруг неё. 
 
Да, пока офис работает не идеально, но в следующем году мы обещаем исправить все косяки!"
25.12.2019,"Не перестаём удивляться нашим студентам. Они могут кодить, играть в рок-группе, топить за экологию и заниматься спортом одновременно. Уже привычно, что «Кронверкские барсы» регулярно приезжают с медалями. Но в 2019 году мы взяли новую вершину. 
 
Клим Гаврилов, студент факультета программной инженерии и компьютерной техники, выиграл FIA Motorsport Games. Аналог Олимпийских игр в автогонках. Теперь он официально самый быстрый студент Университета ИТМО. Вррррум!"
25.12.2019,"Студенты и выпускники ИТМО на славу отожгли на рок-фестивале «Отрыв»🔥

Все участники выступили круто, но победителями стали ребята из группы The Gypsy Temple. Поздравляем! 

В следующем году обязательно повторим 😉

#ИТМО120 #ITMO120"
24.12.2019,"В апреле Университет ИТМО захватили супергерои. Они изменили внешний и внутренний облик ИТМО, вели соцсети, принимали экзамены. 

Главным был Человек-паук. Он оккупировал башню главного корпуса и отправил оттуда послание всем студентам, что ИТМО — новая база героев ITMULTIVERSE. 

Ходят слухи, что это был сам ректор! Якобы, есть даже фото с доказательствами. Но их никто не видел… 😑"
24.12.2019,"Ешь, молись, люби 🥰 
 
Команда из Университета ИТМО связала знакомства и любимые заведения в одном мобильном приложении. Теперь можно пойти на свидание с человеком, который завтракает с тобой в одной кондитерской. 
 
В ITMO.NEWS разобрались, как работает приложение и на чем собираются зарабатывать разработчики."
24.12.2019,"В 2019 году Гена Короткевич продолжил брать топовые кодерские награды: Topcoder Open 2019 (сразу в двух номинациях!), Facebook Hacker Cup, Google Code Jam. 

Но есть и кое-что неожиданное среди достижений: Гена в «ТОП 50. Самые знаменитые люди Петербурга» журнала «Собака.ru». Теперь Гена официально переходит из мира IT в мир гламурных тусовок. В следующем году ждём его на GQ. А там уже и до Урганта не далеко. 😉"
24.12.2019,"От курсов программирования у дома до работы во ВКонтакте. 
 
Почитайте, как студент ИТМО смог поступить в университет по олимпиаде и, несмотря на проваленное собеседование, устроился на работу в престижную компанию."
24.12.2019,"Продолжаем #ИТОГИ2019 ! 

Мало кто знал, что робот Селдон, собранный в лаборатории молодёжной робототехники ИТМО, долго страдал от бессонницы. Чтобы ему помочь, наши ребята сделали еще одного. ELSA может играть на флейте, распознавать аккорды и синтезировать мелодию. Теперь есть кому играть Селдону колыбельную! 

Ещё в 2019 году наши робототехники заняли второе место на всемирной робототехнической олимпиаде (WRO) и RoboCup2019. Гордимся!😎"
23.12.2019,"Наши любимые [club76139618|Мегабайт Медиа] отметились сразу тремя новыми шоу на YouTube. Интервью - “Омега 3”, ээээксперименты - “Неядерная реакция”, и “Пятница, Итин” - главные новости недели от главного редактора в… неформальной обстановке. 

Захват YouTube идет уверенно и по плану💪🏻"
